City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yatou,CN,2022-03-27 21:02:04,37.15,122.3833,37.38,32,0,4.36
68,Pacific Grove,US,2022-03-27 21:01:21,36.6177,-121.9166,63.34,74,100,30.0
69,Bethel,US,2022-03-27 21:02:05,41.3712,-73.414,43.54,60,100,11.99
70,Burnie,AU,2022-03-27 21:02:05,-41.0667,145.9167,60.94,95,100,5.95
71,Aktau,KZ,2022-03-27 21:02:06,43.65,51.2,39.78,93,93,4.38
72,Tigzirt,DZ,2022-03-27 21:02:06,36.8886,4.1198,55.51,88,5,7.16
73,Salalah,OM,2022-03-27 21:02:07,17.0151,54.0924,77.67,49,6,2.3
74,Tuktoyaktuk,CA,2022-03-27 20:58:12,69.4541,-133.0374,-11.2,64,0,8.05
75,Nome,US,2022-03-27 21:02:08,64.5011,-165.4064,27.16,64,99,6.17
76,Namibe,AO,2022-03-27 21:02:08,-15.1961,12.1522,71.92,73,90,12.71
77,Pangnirtung,CA,2022-03-27 21:02:09,66.1451,-65.7125,20.73,77,99,1.7
78,Hobart,AU,2022-03-27 21:00:10,-42.8794,147.3294,61.05,77,0,6.91
79,Khatanga,RU,2022-03-27 21:02:09,71.9667,102.5,-22.99,100,97,1.74
80,Bengkulu,ID,2022-03-27 21:02:10,-3.8004,102.2655,74.48,90,75,5.59
81,Pangkalanbuun,ID,2022-03-27 21:02:10,-2.6833,111.6167,74.08,97,96,1.72
82,Airai,TL,2022-03-27 21:02:11,-8.9266,125.4092,59.0,89,91,1.3
83,Innisfail,AU,2022-03-27 21:00:47,-17.5333,146.0333,73.11,88,29,4.59
84,Chermoz,RU,2022-03-27 21:02:11,58.787,56.1489,32.63,97,100,16.15
85,Wajir,KE,2022-03-27 21:02:12,1.7471,40.0573,85.87,51,10,18.05
86,Sainte-Suzanne,RE,2022-03-27 21:02:12,-20.9061,55.6089,78.98,77,75,5.75
87,Cabo San Lucas,MX,2022-03-27 20:58:15,22.8909,-109.9124,85.6,45,6,9.64
88,Leeton,AU,2022-03-27 21:02:13,-34.5667,146.4,64.24,75,88,5.44
89,Punta Arenas,CL,2022-03-27 21:02:14,-53.15,-70.9167,51.12,53,52,18.37
90,Sitka,US,2022-03-27 21:02:14,57.0531,-135.33,43.16,70,23,4.61
91,Catuday,PH,2022-03-27 21:02:15,16.2923,119.8062,79.32,78,35,6.08
92,Yellowknife,CA,2022-03-27 21:02:15,62.456,-114.3525,14.41,70,100,1.99
93,Fort Nelson,CA,2022-03-27 21:03:16,58.8053,-122.7002,29.55,93,100,0.36
94,Pevek,RU,2022-03-27 21:03:16,69.7008,170.3133,-15.29,99,52,6.98
95,Warkworth,NZ,2022-03-27 21:03:17,-36.4,174.6667,64.9,64,0,6.67
96,Lerwick,GB,2022-03-27 21:03:17,60.1545,-1.1494,46.4,87,2,16.8
97,Port Elizabeth,ZA,2022-03-27 21:03:18,-33.918,25.5701,69.1,97,100,5.01
98,Nosy Varika,MG,2022-03-27 21:03:19,-20.5833,48.5333,77.32,88,17,6.42
99,Hilo,US,2022-03-27 21:00:06,19.7297,-155.09,78.24,77,32,1.01
100,Anadyr,RU,2022-03-27 21:03:19,64.75,177.4833,0.1,85,75,4.47
101,Vaini,TO,2022-03-27 20:58:32,-21.2,-175.2,78.96,94,75,3.44
102,Saldanha,ZA,2022-03-27 21:03:20,-33.0117,17.9442,63.61,73,6,3.47
103,Lubango,AO,2022-03-27 21:03:20,-14.9172,13.4925,62.1,57,100,3.15
104,Lompoc,US,2022-03-27 21:03:21,34.6391,-120.4579,70.61,66,100,25.32
105,Kibala,TD,2022-03-27 21:03:22,9.1104,18.3463,85.44,12,23,4.59
106,Lazaro Cardenas,MX,2022-03-27 21:03:22,17.9583,-102.2,84.96,38,89,12.53
107,Lagoa,PT,2022-03-27 20:59:26,39.05,-27.9833,58.89,85,100,13.0
108,Flin Flon,CA,2022-03-27 21:03:23,54.7682,-101.865,18.19,62,99,8.41
